1,Latoya Williams's room
2,Latoya Williams's bathroom
3,Rajiv Patel's room
4,Rajiv Patel's bathroom
5,Abigail Chen's room
6,Abigail Chen's bathroom
7,kitchen
8,common room
9,Francisco Lopez's room
10,Francisco Lopez's bathroom
11,Hailey Johnson's room
12,Hailey Johnson's bathroom
13,bathroom
14,Tamara Taylor's room
15,Carmen Ortiz's room
16,Tom and Jane Moreno's bedroom
17,empty bedroom
18,classroom
19,library
20,hallway
21,Klaus Mueller's room
22,man's bathroom
23,woman's bathroom
24,Maria Lopez's room
25,Wolfgang Schulz's room
26,Ayesha Khan's room
27,supply store
28,main room
29,cafe
30,Mei and John Lin's bedroom
31,Eddy Lin's bedroom
